wordCount,sentenceCount,ratio,NN,NNP,VBZ,NNPS,NNS,IN,PRP,VB,JJ,VBP,VBG,error,output
446,25,17.84,61,18,10,0,62,16,7,15,52,17,15,78,10
359,21,17.095238095238095,54,51,8,0,16,14,10,16,31,10,10,109,8
276,29,9.517241379310345,37,1,3,2,34,8,12,14,20,23,6,37,7
291,21,13.857142857142858,61,3,6,0,33,18,4,13,29,9,10,28,8
288,19,15.157894736842104,50,36,10,0,16,8,9,9,30,12,6,91,8
459,47,9.76595744680851,75,26,6,2,54,15,28,23,40,30,3,66,10
434,32,13.5625,85,32,7,0,25,16,10,20,26,20,13,129,10
290,18,16.11111111111111,54,13,2,0,33,18,16,10,24,7,7,31,10
350,21,16.666666666666668,44,34,3,0,48,13,10,15,38,17,19,70,8
286,16,17.875,62,8,1,0,17,13,18,14,29,24,13,39,8
236,23,10.26086956521739,43,4,1,1,25,7,13,12,18,18,7,28,8
146,9,16.22222222222222,34,1,2,1,6,3,9,8,16,11,5,12,7
154,11,14.0,27,11,0,0,11,5,16,13,12,15,2,18,6
428,31,13.806451612903226,67,9,9,0,36,26,24,17,41,30,13,41,10
350,28,12.5,69,15,8,1,62,10,5,6,48,19,8,42,8
403,39,10.333333333333334,46,30,15,1,27,8,24,13,35,14,9,95,10
314,19,16.526315789473685,59,7,3,0,20,13,20,18,22,24,12,30,9
193,29,6.655172413793103,35,1,8,0,23,9,14,8,9,8,5,12,6
185,9,20.555555555555557,45,8,3,0,16,6,5,7,17,10,2,32,7
183,15,12.2,26,10,5,0,28,4,8,6,18,15,4,18,8
589,51,11.549019607843137,92,57,7,1,43,21,45,24,48,34,9,119,11
444,22,20.181818181818183,105,26,14,0,45,14,9,16,40,13,12,82,11
259,25,10.36,49,11,7,0,17,9,13,22,18,15,5,25,8
411,36,11.416666666666666,46,38,5,0,33,14,39,26,33,30,1,79,10
196,15,13.066666666666666,35,11,5,0,22,11,8,5,14,13,9,28,7
247,21,11.761904761904763,54,16,2,0,22,12,7,10,20,12,9,36,8
358,34,10.529411764705882,63,25,8,0,36,19,9,12,27,12,12,58,11
322,20,16.1,47,46,7,0,26,10,9,17,20,19,8,91,8
204,17,12.0,29,25,0,1,18,9,13,11,26,17,7,46,7
407,40,10.175,71,22,8,0,35,15,14,16,36,27,16,56,10
250,26,9.615384615384615,42,7,7,0,25,12,12,8,20,14,10,12,8
332,18,18.444444444444443,52,30,8,0,19,14,14,19,26,23,4,74,9
316,21,15.047619047619047,59,7,8,0,32,11,12,26,28,23,4,47,10
448,34,13.176470588235293,89,34,4,0,23,11,16,26,37,37,8,79,9
308,30,10.266666666666667,45,12,3,0,29,9,10,16,30,18,12,41,11
523,52,10.057692307692308,99,18,11,1,63,22,22,23,49,29,12,55,10
308,21,14.666666666666666,41,9,5,0,44,9,20,13,17,31,3,54,8
272,24,11.333333333333334,46,11,10,0,28,7,17,8,29,21,1,28,8
192,13,14.76923076923077,42,3,3,1,19,0,11,8,29,14,2,26,6
485,36,13.472222222222221,70,45,10,1,49,19,11,22,52,20,11,100,11
342,29,11.793103448275861,54,21,8,0,32,12,23,17,29,23,11,48,9
271,28,9.678571428571429,49,14,3,0,26,9,12,12,22,22,7,37,8
321,24,13.375,68,13,18,0,29,8,22,13,19,15,11,34,8
431,29,14.862068965517242,72,47,3,0,15,18,35,24,31,24,15,87,9
47,4,11.75,8,0,1,0,7,1,1,1,3,2,6,5,4
267,25,10.68,27,11,2,0,30,6,12,17,32,19,6,37,8
418,28,14.928571428571429,61,75,7,0,43,12,11,9,40,20,4,127,12
439,37,11.864864864864865,68,27,12,0,21,12,26,26,32,24,20,87,10
287,20,14.35,46,4,8,0,27,12,32,9,30,26,4,28,8
310,17,18.235294117647058,52,45,1,0,13,7,11,35,29,11,4,91,8
421,29,14.517241379310345,86,20,7,2,43,16,4,28,32,10,7,45,9
319,29,11.0,61,8,2,2,33,12,17,15,24,22,7,22,10
183,9,20.333333333333332,40,6,2,0,12,11,12,10,14,19,4,13,7
116,1,116.0,25,0,1,0,12,4,11,11,11,9,6,5,5
199,10,19.9,37,4,3,0,27,10,16,9,18,17,4,14,8
294,23,12.782608695652174,59,3,7,1,28,13,16,13,35,16,13,14,9
317,30,10.566666666666666,59,8,3,0,28,11,20,21,21,23,11,25,9
334,26,12.846153846153847,51,15,3,0,30,16,28,21,18,28,4,37,10
480,39,12.307692307692308,92,11,14,0,57,17,17,17,56,19,14,43,10
378,24,15.75,60,38,3,0,42,12,8,15,35,20,10,77,10
395,25,15.8,66,37,11,1,41,8,17,13,37,25,5,99,11
455,44,10.340909090909092,75,32,6,0,33,22,22,21,47,30,9,78,10
321,24,13.375,60,7,6,0,26,12,23,14,34,26,6,36,10
213,11,19.363636363636363,41,14,8,0,29,11,12,13,18,8,3,39,7
480,41,11.707317073170731,75,32,17,2,46,24,22,13,29,27,14,91,9
176,8,22.0,48,5,5,0,17,8,4,7,16,8,7,13,7
319,24,13.291666666666666,52,6,2,0,46,17,10,14,26,27,9,34,10
144,12,12.0,32,3,6,0,10,8,10,8,9,8,4,11,7
296,30,9.866666666666667,40,14,6,0,34,10,16,26,33,20,5,30,9
475,33,14.393939393939394,74,37,5,0,45,16,39,14,40,29,18,79,10
337,24,14.041666666666666,59,15,11,0,18,14,12,4,33,17,16,69,10
255,19,13.421052631578947,49,20,1,1,20,11,21,15,20,23,5,36,7
335,31,10.806451612903226,76,5,6,0,32,18,13,18,26,17,14,24,9
303,24,12.625,61,9,4,0,37,17,11,14,31,13,8,50,10
141,3,47.0,25,23,1,0,8,11,10,4,12,9,6,32,6
488,39,12.512820512820513,96,28,9,0,46,26,8,17,42,20,21,54,12
239,17,14.058823529411764,45,5,7,0,33,8,14,8,19,21,4,25,9
323,20,16.15,66,16,2,0,34,15,20,13,33,20,8,41,8
263,24,10.958333333333334,44,20,2,0,33,11,11,12,23,19,3,47,8
170,7,24.285714285714285,30,1,0,0,23,7,6,15,14,16,4,11,8
144,11,13.090909090909092,17,6,2,0,30,10,3,5,20,11,3,18,6
388,28,13.857142857142858,66,14,2,0,22,22,30,26,34,27,9,45,9
373,33,11.303030303030303,69,17,13,0,31,12,24,14,32,11,8,56,12
380,28,13.571428571428571,64,22,7,1,41,17,10,8,37,29,9,62,10
294,29,10.137931034482758,47,18,11,1,14,14,25,12,28,13,3,46,8
411,29,14.172413793103448,77,58,12,0,26,17,14,8,44,18,13,106,9
291,26,11.192307692307692,48,15,4,0,47,15,3,12,28,23,5,36,9
431,37,11.64864864864865,71,20,4,1,46,14,17,14,31,23,22,75,10
231,21,11.0,42,3,3,0,18,7,10,22,14,11,12,21,8
346,30,11.533333333333333,72,15,3,0,33,9,16,23,33,23,5,60,10
438,29,15.10344827586207,103,16,8,1,32,14,13,16,29,24,10,67,12
194,22,8.818181818181818,30,5,2,1,37,5,2,9,19,17,5,22,8
202,9,22.444444444444443,31,3,2,0,38,6,7,3,25,19,1,31,8
341,30,11.366666666666667,64,29,4,0,23,17,14,17,43,16,7,80,9
463,33,14.030303030303031,84,38,4,0,40,13,9,14,59,27,10,90,10
272,20,13.6,37,20,9,0,21,10,11,16,30,15,2,55,8
351,16,21.9375,55,16,7,1,43,13,11,14,47,33,4,54,9
130,10,13.0,18,3,2,0,22,5,4,4,12,9,6,22,6
270,21,12.857142857142858,41,23,3,1,24,9,12,12,25,15,7,42,8
218,5,43.6,28,9,5,0,30,17,12,22,25,7,6,15,8
172,6,28.666666666666668,40,9,4,0,12,10,11,10,10,10,7,17,8
215,12,17.916666666666668,39,6,3,0,24,15,4,18,15,11,3,33,8
272,25,10.88,48,5,5,0,33,7,16,9,28,22,10,38,8
268,21,12.761904761904763,39,33,1,0,25,9,11,9,24,12,18,44,8
303,20,15.15,61,7,5,1,30,11,9,10,29,16,8,33,10
252,23,10.956521739130435,47,5,7,0,20,10,12,19,17,12,0,24,8
256,20,12.8,51,38,5,0,26,9,6,10,18,10,4,71,8
235,23,10.217391304347826,48,13,2,1,23,12,13,10,25,12,2,28,8
368,30,12.266666666666667,53,33,13,0,33,11,15,25,44,21,3,65,10
392,30,13.066666666666666,72,29,11,1,45,14,15,11,35,20,3,72,10
227,17,13.352941176470589,47,4,4,0,27,13,10,12,19,24,5,18,8
343,26,13.192307692307692,69,18,6,0,22,15,5,10,27,9,23,60,8
287,16,17.9375,55,23,6,0,4,14,22,24,26,22,6,31,8
347,28,12.392857142857142,55,13,12,0,45,17,27,22,19,33,8,26,8
258,22,11.727272727272727,53,9,6,0,31,10,13,7,26,11,6,15,8
81,3,27.0,12,1,0,0,14,5,7,5,9,11,0,7,5
313,23,13.608695652173912,61,14,4,0,30,9,18,24,22,28,4,18,9
116,20,5.8,20,7,6,1,14,5,1,10,6,5,4,18,6
290,23,12.608695652173912,50,10,8,0,23,7,13,12,36,20,7,47,10
194,16,12.125,19,4,3,0,21,8,11,20,16,12,2,19,8
416,39,10.666666666666666,78,17,10,1,55,19,10,10,31,34,6,71,11
323,29,11.137931034482758,70,9,11,0,22,15,15,12,28,10,7,25,8
434,34,12.764705882352942,94,20,13,0,34,12,13,17,45,21,10,65,10
112,9,12.444444444444445,14,13,5,0,5,5,4,6,11,5,2,28,5
292,28,10.428571428571429,67,10,2,0,25,10,16,16,26,28,3,23,8
411,25,16.44,82,28,7,0,19,18,21,22,32,29,12,58,10
356,23,15.478260869565217,61,26,14,0,27,12,18,8,36,13,7,63,10
642,39,16.46153846153846,120,78,10,1,45,21,32,20,51,25,22,143,11
308,27,11.407407407407407,43,31,7,1,35,8,15,11,26,22,6,46,8
321,27,11.88888888888889,57,14,8,0,33,14,15,10,37,23,8,36,9
296,28,10.571428571428571,48,4,5,0,33,9,22,11,29,26,6,21,8
366,27,13.555555555555555,52,3,4,0,31,8,24,35,33,26,4,18,10
320,33,9.696969696969697,41,23,7,0,42,18,18,19,17,22,3,48,10
513,47,10.914893617021276,82,47,9,0,26,18,17,26,55,21,22,119,10
310,25,12.4,58,25,5,0,27,13,16,10,27,18,6,50,10
224,25,8.96,30,8,8,0,34,8,9,11,21,10,5,12,8
124,10,12.4,17,1,2,0,27,3,6,3,10,10,2,12,6
124,8,15.5,17,5,3,0,18,5,5,7,15,11,4,9,6
308,26,11.846153846153847,62,3,6,0,28,9,15,9,42,19,15,33,9
138,12,11.5,23,3,5,0,10,6,8,7,13,11,0,10,6
210,20,10.5,38,5,4,0,30,10,8,9,17,17,5,11,7
239,20,11.95,46,2,2,0,12,13,16,17,15,22,5,21,8
258,14,18.428571428571427,52,22,1,0,25,18,5,8,24,12,12,53,8
483,28,17.25,92,71,12,1,51,12,14,13,49,19,19,96,10
297,20,14.85,47,6,2,0,31,9,26,14,26,28,9,30,8
471,39,12.076923076923077,60,46,7,0,31,10,32,25,32,28,17,104,10
281,26,10.807692307692308,48,21,3,0,25,20,8,22,29,11,4,37,8
333,23,14.478260869565217,57,23,5,0,23,14,22,21,31,23,7,53,9
396,37,10.702702702702704,69,53,8,0,35,12,13,12,47,23,5,115,10
171,19,9.0,21,6,1,1,24,4,8,11,17,11,5,15,6
416,27,15.407407407407407,74,68,9,0,37,15,7,4,27,17,6,110,9
343,14,24.5,69,16,5,0,44,11,17,11,31,28,9,61,8
287,20,14.35,47,26,5,0,38,4,10,6,27,23,7,46,8
453,43,10.534883720930232,65,18,5,1,29,12,38,20,36,22,12,58,12
212,19,11.157894736842104,37,13,2,0,28,5,11,9,16,23,4,31,8
304,27,11.25925925925926,57,22,3,0,30,10,10,13,28,20,16,34,9
267,11,24.272727272727273,40,42,6,0,25,7,14,4,22,8,6,83,8
233,24,9.708333333333334,33,11,2,0,22,4,11,18,22,16,4,34,8
364,31,11.741935483870968,67,20,4,0,30,10,20,17,30,22,18,51,9
229,23,9.956521739130435,27,9,4,1,27,5,17,10,23,20,11,30,8
491,36,13.63888888888889,69,32,15,0,49,21,16,12,45,21,13,114,12
157,9,17.444444444444443,45,4,2,0,16,3,5,5,22,10,3,48,7
329,32,10.28125,60,11,5,0,34,14,21,11,29,19,7,30,8
236,19,12.421052631578947,46,2,5,0,25,12,20,10,23,13,2,22,7
148,10,14.8,29,6,1,0,12,6,13,2,19,18,3,20,6
256,17,15.058823529411764,44,15,2,0,27,7,14,9,20,22,5,36,8
239,13,18.384615384615383,38,2,2,0,29,11,10,11,33,20,6,19,9
337,21,16.047619047619047,73,0,5,0,21,20,20,12,25,18,30,20,9
222,19,11.68421052631579,54,20,5,0,17,6,11,3,15,18,5,39,8
202,12,16.833333333333332,32,23,6,0,20,5,5,10,18,9,5,42,9
372,31,12.0,71,32,9,0,28,16,11,16,20,20,16,74,9
468,34,13.764705882352942,94,8,8,1,37,25,29,32,29,32,10,33,11
251,15,16.733333333333334,53,4,8,0,16,12,14,14,35,14,14,18,7
112,7,16.0,24,1,0,0,10,4,6,9,9,18,1,6,7
526,44,11.954545454545455,91,17,5,0,51,15,16,31,45,29,6,62,11
351,28,12.535714285714286,53,19,13,0,31,17,12,12,32,15,13,64,8
381,40,9.525,63,11,4,2,37,12,28,23,39,18,6,29,9
324,23,14.08695652173913,69,48,7,1,12,7,11,11,29,9,6,82,9
268,24,11.166666666666666,44,21,8,1,23,11,4,11,28,13,7,47,10
434,27,16.074074074074073,74,8,3,0,42,20,24,32,36,33,6,40,9
314,26,12.076923076923077,48,11,4,0,43,15,10,11,28,31,6,27,9
199,14,14.214285714285714,36,11,1,0,5,8,14,10,22,14,2,39,6
454,31,14.64516129032258,97,34,12,0,20,22,29,17,30,21,8,71,10
257,23,11.173913043478262,47,3,5,0,22,11,21,10,21,29,6,26,8
240,15,16.0,32,22,4,0,25,13,17,18,19,11,4,45,8
334,20,16.7,81,18,9,0,18,13,20,14,32,19,10,33,8
394,26,15.153846153846153,63,10,13,1,41,20,15,12,46,20,10,31,11
373,27,13.814814814814815,86,12,8,0,16,9,12,17,20,17,11,64,9
255,30,8.5,43,4,4,0,20,12,19,15,23,21,7,15,7
367,30,12.233333333333333,64,6,5,2,40,9,17,18,27,22,15,57,9
202,12,16.833333333333332,39,8,3,0,15,6,15,19,20,10,5,17,8
426,30,14.2,85,24,9,0,56,21,9,10,37,26,9,53,10
287,18,15.944444444444445,49,25,11,0,22,13,15,12,34,18,6,47,8
368,36,10.222222222222221,56,47,8,0,22,21,10,16,29,15,10,77,11
361,25,14.44,55,36,13,0,29,8,10,12,21,14,9,96,11
379,23,16.47826086956522,51,40,5,1,48,14,8,19,29,25,7,68,10
208,17,12.235294117647058,27,5,5,0,23,9,12,13,15,16,9,23,8
326,21,15.523809523809524,61,17,7,0,25,16,13,21,20,14,12,58,9
308,26,11.846153846153847,37,2,6,0,41,13,18,22,29,30,14,28,8
252,20,12.6,40,9,2,0,13,9,25,12,14,22,6,30,8
482,39,12.35897435897436,83,31,12,0,31,14,33,25,53,33,4,118,10
237,11,21.545454545454547,27,37,7,0,30,8,4,8,33,20,6,45,8
336,27,12.444444444444445,52,44,2,1,26,9,18,21,23,17,7,74,9
333,27,12.333333333333334,62,16,11,0,36,9,5,6,40,20,7,39,11
204,17,12.0,29,8,3,0,24,12,8,8,18,18,15,18,8
344,23,14.956521739130435,60,22,7,1,25,13,15,19,34,17,12,53,9
248,22,11.272727272727273,47,4,9,2,19,8,17,15,23,13,9,20,8
356,34,10.470588235294118,78,13,6,0,33,13,12,22,30,25,7,33,10
359,34,10.558823529411764,55,36,2,0,35,15,21,11,40,27,5,59,10
200,16,12.5,29,19,0,0,20,8,13,5,17,17,2,40,7
255,20,12.75,39,20,4,1,35,17,14,7,21,16,4,50,8
167,11,15.181818181818182,23,8,4,0,16,9,13,15,9,17,3,14,6
228,15,15.2,48,5,0,1,22,8,10,16,23,23,2,20,8
456,29,15.724137931034482,74,23,12,0,33,19,35,20,33,28,7,75,11
61,4,15.25,10,4,0,0,7,4,2,5,3,3,1,13,4
496,32,15.5,73,73,11,0,36,19,26,26,42,28,13,120,12
270,26,10.384615384615385,58,2,8,0,18,3,15,12,20,13,4,32,8
323,21,15.380952380952381,61,10,5,0,30,8,9,13,31,12,14,49,10
433,29,14.931034482758621,85,9,11,0,38,16,8,16,43,25,14,43,11
372,32,11.625,61,15,1,1,47,12,12,11,35,23,11,66,11
435,36,12.083333333333334,98,21,8,0,43,9,14,17,36,17,10,61,11
203,17,11.941176470588236,38,11,3,0,13,11,12,10,21,6,1,40,8
361,26,13.884615384615385,65,26,4,1,29,19,10,31,33,27,6,57,10
274,25,10.96,45,4,8,0,34,10,10,10,23,21,12,27,10
386,23,16.782608695652176,78,18,11,0,23,15,32,26,31,31,2,53,10
383,29,13.206896551724139,78,9,9,0,37,18,15,18,40,18,9,57,9
290,26,11.153846153846153,34,5,3,0,46,5,10,14,35,24,2,19,8
265,21,12.619047619047619,42,8,1,0,31,7,12,13,32,17,0,31,8
456,38,12.0,64,54,12,0,38,10,18,19,36,24,12,116,8
338,29,11.655172413793103,44,54,8,2,25,13,13,13,25,27,8,86,9
492,45,10.933333333333334,92,26,7,0,51,17,17,20,48,27,9,72,10
395,28,14.107142857142858,69,16,12,0,32,14,14,12,39,14,14,70,10
451,26,17.346153846153847,74,60,9,0,36,21,29,17,35,30,14,107,9
420,26,16.153846153846153,67,39,10,0,31,27,25,13,28,20,7,92,10
357,31,11.516129032258064,63,10,4,0,31,10,31,18,22,33,11,40,8
300,26,11.538461538461538,51,7,3,0,25,13,9,15,13,10,18,47,9
87,2,43.5,16,2,4,0,5,3,8,8,7,4,2,12,6
307,17,18.058823529411764,43,26,7,0,39,12,13,7,31,21,11,55,9
307,17,18.058823529411764,53,44,9,0,23,8,7,10,29,9,5,78,10
279,27,10.333333333333334,51,16,5,0,22,12,14,15,20,17,6,32,9
201,20,10.05,33,13,2,0,15,8,16,14,24,15,3,36,7
290,21,13.80952380952381,65,7,7,0,24,12,12,12,20,18,6,36,9
346,22,15.727272727272727,61,13,3,0,41,11,7,12,45,19,11,45,10
454,29,15.655172413793103,89,21,8,1,48,22,12,14,38,32,14,72,9
406,33,12.303030303030303,77,15,3,2,44,16,16,15,39,28,20,50,10
315,21,15.0,37,11,7,0,49,16,15,25,28,33,7,47,8
339,29,11.689655172413794,59,41,8,0,20,12,16,11,28,19,6,71,9
254,12,21.166666666666668,45,7,3,0,34,14,13,10,28,17,12,28,8
463,29,15.96551724137931,79,57,10,0,46,14,17,8,44,25,18,91,12
259,16,16.1875,51,16,7,0,17,9,10,13,16,19,10,47,8
334,27,12.37037037037037,44,10,9,0,37,12,29,21,29,17,12,25,10
269,20,13.45,45,4,3,0,34,7,10,19,15,18,10,29,8
307,18,17.055555555555557,63,7,6,0,15,12,12,15,31,11,14,42,9
558,41,13.609756097560975,96,44,11,3,57,17,9,18,58,30,19,82,10
303,26,11.653846153846153,60,9,11,0,18,12,19,15,29,18,7,21,6
271,30,9.033333333333333,55,6,2,1,23,9,20,8,20,24,12,20,8
261,18,14.5,44,2,2,0,24,16,27,18,27,15,5,23,8
551,36,15.305555555555555,95,77,14,2,47,16,18,12,50,25,12,129,11
389,35,11.114285714285714,75,7,6,0,22,15,19,14,37,17,20,45,10
250,20,12.5,48,27,4,1,19,5,10,13,12,6,3,54,8
356,30,11.866666666666667,58,38,5,0,20,10,19,17,25,19,10,87,9
547,45,12.155555555555555,118,32,2,1,38,29,34,23,42,26,14,59,10
272,16,17.0,47,28,7,0,15,10,20,9,28,13,14,48,9
452,36,12.555555555555555,62,17,8,1,53,12,21,19,38,29,13,69,11
250,24,10.416666666666666,44,21,8,1,24,9,6,10,31,13,6,39,10
165,9,18.333333333333332,27,13,1,0,13,11,10,4,11,17,9,19,8
429,24,17.875,72,44,17,0,45,12,18,8,40,31,11,73,11
301,29,10.379310344827585,46,12,2,0,36,3,9,15,38,13,11,42,9
210,15,14.0,57,5,7,0,11,5,4,16,16,7,8,21,8
378,27,14.0,67,22,16,0,54,12,9,10,31,26,6,57,9
307,27,11.37037037037037,54,22,3,0,35,6,11,12,28,19,15,40,9
360,18,20.0,69,29,6,0,33,22,21,10,25,25,5,87,10
597,32,18.65625,80,55,11,0,65,14,23,20,62,48,13,141,12
200,12,16.666666666666668,32,4,5,0,15,5,17,15,24,17,3,14,7
248,15,16.533333333333335,44,22,3,0,28,10,11,15,18,15,9,41,8
203,15,13.533333333333333,33,14,1,0,17,11,11,13,21,17,4,24,8
332,27,12.296296296296296,60,28,3,0,22,12,27,15,24,34,2,44,8
298,33,9.030303030303031,49,4,6,1,42,10,17,14,22,31,5,28,9
165,11,15.0,35,6,1,0,13,6,2,13,9,15,12,18,7
95,10,9.5,16,0,1,1,16,2,11,5,6,15,0,4,5
236,20,11.8,44,32,3,0,20,7,15,10,17,6,5,49,8
168,13,12.923076923076923,33,3,4,0,9,4,15,11,10,13,2,21,6
238,22,10.818181818181818,36,16,5,0,26,10,13,8,15,11,9,43,8
217,17,12.764705882352942,34,10,1,0,19,4,5,11,25,11,17,38,8
148,8,18.5,28,8,2,0,14,8,11,7,12,11,8,20,7
9,1,9.0,2,1,0,0,0,0,0,0,1,0,0,3,2
150,11,13.636363636363637,32,15,4,0,3,6,4,10,11,5,7,30,6
422,44,9.590909090909092,76,10,9,2,54,13,23,19,37,27,8,31,10
424,28,15.142857142857142,72,47,9,0,21,14,19,9,46,22,5,106,10
200,10,20.0,45,0,9,0,17,6,9,11,23,7,10,18,8
499,32,15.59375,75,26,9,0,61,25,19,17,43,22,16,90,11
388,28,13.857142857142858,73,8,4,1,49,9,13,20,35,19,11,66,9
320,24,13.333333333333334,35,36,2,1,30,6,19,23,23,22,11,69,8
272,17,16.0,44,8,5,2,37,12,10,9,26,16,10,36,8
266,21,12.666666666666666,35,12,3,1,46,3,11,13,22,18,2,37,9
223,18,12.38888888888889,30,15,8,0,19,5,6,10,22,18,4,55,8
522,33,15.818181818181818,94,38,10,0,52,16,14,16,49,26,17,106,10
280,24,11.666666666666666,57,6,4,0,17,11,14,19,24,16,6,47,8
416,33,12.606060606060606,38,49,7,1,61,8,16,16,42,20,13,101,10
243,19,12.789473684210526,40,18,1,0,17,7,10,6,18,12,11,45,8
283,9,31.444444444444443,60,9,5,0,21,12,18,11,22,13,16,27,7
109,5,21.8,29,2,1,0,4,4,10,3,8,6,9,9,4
360,17,21.176470588235293,78,27,11,0,37,7,29,11,35,32,11,56,8
385,30,12.833333333333334,88,32,8,0,21,18,11,23,26,16,18,68,10
384,31,12.387096774193548,81,12,7,0,23,17,25,26,28,26,2,43,11
